product_id,name,brand,category,category_id,price_current,price_ratio,image_url,url
209436881,ARKET wool maxi belted trench coat with side splits in burgundy plum,Arket,Women's Coats and Jackets,2641,391.0,,https://images.asos-media.com/products/arket-wool-maxi-belted-trench-coat-with-side-splits-in-burgundy-plum/209436881-1-burgundyplum,https://www.asos.comarket/arket-wool-maxi-belted-trench-coat-with-side-splits-in-burgundy-plum/prd/209436881#colourWayId-209436895
208917995,ASOS LUXE Curve tailored pants with pearl embellishment in burgundy - part of a set,ASOS LUXE,Women's Pants,2640,90.0,,https://images.asos-media.com/products/asos-luxe-curve-tailored-pants-with-pearl-embellishment-in-burgundy-part-of-a-set/208917995-1-burgundy,https://www.asos.comasos-luxe/asos-luxe-curve-pearl-embellished-velvet-blazer-and-tailored-pants-in-burgundy/grp/209468215#colourWayId-208918014&productId-208917995
208778188,ASOS DESIGN lace up chukka boots in black,ASOS DESIGN,Men's Shoes,4209,49.99,,https://images.asos-media.com/products/asos-design-lace-up-chukka-boots-in-black/208778188-1-black,https://www.asos.comasos-design/asos-design-lace-up-chukka-boots-in-black/prd/208778188#colourWayId-208778193
208696103,Noisy May denim shacket in gray denim,Noisy May,Women's Coats and Jackets,2641,65.0,,https://images.asos-media.com/products/noisy-may-denim-shacket-in-gray-denim/208696103-1-mediumgreydenim,https://www.asos.comnoisy-may/noisy-may-denim-shacket-in-gray-denim/prd/208696103#colourWayId-208696109
209226004,Adore Me Tatiana swimwear high waist bikini bottoms in black,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-tatiana-swimwear-high-waist-bikini-bottoms-in-black/209226004-1-black,https://www.asos.comadore-me/adore-me-tatiana-swimwear-high-waist-bikini-bottoms-in-black/prd/209226004#colourWayId-209226020
208770083,MONTCE kaia one-piece in camo,MONTCE,Women's Swimwear and Beachwear,2238,198.0,,https://images.asos-media.com/products/montce-kaia-one-piece-in-camo/208770083-1-camo,https://www.asos.commontce/montce-kaia-one-piece-in-camo/prd/208770083#colourWayId-208770084
209205295,Topshop deep plunge ruffle maxi gown in black,Topshop,Women's Dresses,8799,149.0,,https://images.asos-media.com/products/topshop-deep-plunge-ruffle-maxi-gown-in-black/209205295-1-black,https://www.asos.comtopshop/topshop-deep-plunge-ruffle-maxi-gown-in-black/prd/209205295#colourWayId-209205302
208787935,SEQWL faux fur lined ruched moccasins in chocolate,SEQWL,Men's Shoes,4209,42.0,,https://images.asos-media.com/products/seqwl-faux-fur-lined-ruched-moccasins-in-chocolate/208787935-1-choc,https://www.asos.comseqwl/seqwl-faux-fur-lined-ruched-moccasins-in-chocolate/prd/208787935#colourWayId-208787939
209256890,ASOS DESIGN slinky cap sleeve maxi dress with seam detail in brown,ASOS DESIGN,Women's Dresses,8799,52.99,,https://images.asos-media.com/products/asos-design-slinky-cap-sleeve-maxi-dress-with-seam-detail-in-brown/209256890-1-brown,https://www.asos.comasos-design/asos-design-slinky-cap-sleeve-maxi-dress-with-seam-detail-in-brown/prd/209256890#colourWayId-209256898
208603290,South Beach pleated bikini in cream,South Beach,Women's Swimwear and Beachwear,2238,48.0,0.8,https://images.asos-media.com/products/south-beach-pleated-bikini-in-cream/207776711-4,https://www.asos.comsouth-beach/south-beach-pleated-bikini-in-cream/grp/208603290#colourWayId-207776712
